TOPSTATS 8 1274 18590 1978 537 17233 57228 -1896 -1 
Brynna 5 1084 2 9 2896 101 1025729785 1026122 
Spiker 0 84 0 12 740 16 1777321 1755 
Yorl 1 2490 14 41 2140 240 1345213457 1345299 
Ada 0 2260 7 12 2280 171 1919367837 1919767 
Iyth 0 2940 0 3 2336 193 1909535254 1910225 
Paarshad 217 4668 1978 309 6379 28250 1496351791 1493595 
Shaka 0 1018 11 35 1702 144 1080096362 1079996 
Irkallia 11 9258 18 46 10283 732 1360622488 1362610 
Mitsu 0 2124 0 12 774 57 29716955 29942 
Vorpal 6 5235 4 249 7665 1029 1943934312 1943720 
DrDoom 2 2737 5 24 3048 219 1407525564 1408012 
Kukulkan 26 7305 54 55 2564 591 1008136074 1008431 
Uriah 0 0 0 1 184 1 210523 219 
Malfoy 4 998 22 9 1582 48 34093153 33990 
Theophania 0 1 0 0 337 1 591297 625 
Tancono 3 777 3 41 1822 123 1377270416 1377206 
Nitsud 0 0 0 0 11 0 14488 15 
Minor 0 79 0 6 492 12 2000530 2008 
Spaz 0 28 0 0 632 8 31819165 31892 
Tyranny 11 1318 0 1 1852 111 2038895038 2039345 
Epperson 0 380 0 40 2292 107 386915024 386889 
Oskar 0 45 0 0 863 12 10997840 11099 
Kabal 1 330 3 10 1376 118 887124253 887270 
Shawk 0 254 0 0 543 8 11825411 11912 
Sylas 0 1320 3 9 1623 91 495158977 495408 
Tifa 0 10 0 2 462 3 617737 647 
Zarzab 0 6 0 0 250 0 255321 280 
Ratalon 0 965 8 12 1646 136 1518607966 1518763 
Yaohan 12 12573 13 26 12858 703 -1314928897 -1312102 
Eowyn 0 318 2 9 885 51 341811744 341861 
Kaida 0 214 0 9 470 46 692769506 692793 
Outsider 0 111 1 8 1084 35 320876343 320935 
Necrov 0 2059 0 90 3040 243 850794396 850646 
Naslander 29 2793 15 11 8465 166 1836083824 1837126 
StarChaser 5 4410 15 67 4018 515 1447517526 1447994 
Sartorious 0 2 19 4 619 21 4114384 3871 
Archaon 0 217 0 1 634 7 721974 802 
Thorin 65 15544 48 126 12495 1381 1177404177 1179803 
Galadriel 8 3166 21 66 6454 928 2080032211 2080970 
Derli 157 13941 133 359 13336 2118 -2143701168 -2143970 
Eddard 10 4784 8 11 709 300 54661 702 
Marken 0 245 0 4 527 8 2257916 2301 
Kaos 12 2522 32 537 3579 633 1174841255 1170269 
Zethra 0 184 0 6 1955 52 382356540 382561 
Candy 74 7241 116 77 5675 636 -2053294414 -2053655 
Evinthor 0 11 0 0 196 1 132384 153 
Alicia 9 631 8 26 1935 640 84331669 84874 
Lithien 0 90 12 11 1186 62 28014242 27913 
Bumbler 0 332 0 1 216 8 14310909 14362 
Hercule 0 28 0 1 176 28 0 37 
Lohengrin 0 1513 1 15 1515 63 107337918 107537 
Maeko 2 77 2 8 826 28 19998025 20011 
Reviler 0 255 0 2 548 17 9923566 9999 
Elliria 0 44 0 1 404 4 6628315 6666 
Roash 0 1607 1 40 2624 175 264535500 264717 
TalonSlayer 3 2842 5 17 11392 569 -2083413020 -2081657 
Kilriata 3 4968 3 24 3039 240 370180276 370943 
Aerindir 0 0 0 0 11 0 14312 15 
Kraft 7 4933 28 146 7267 2985 288756 2633 
Clive 0 1346 2 17 2611 283 93068187 93546 
QuestImm 0 0 0 0 1 0 10420 10 
Gith 3 951 19 17 2465 235 1715939285 1716069 
Krunk 16 11395 7 87 8021 447 -1758675173 -1757214 
Clyve 0 10 1 1 218 7 967930 971 
Miraku 0 79 0 3 669 13 33684826 33740 
Mendou 1261 11521 404 94 12591 2227 -244140974 -242719 
Testch 0 0 0 0 1 0 10400 10 
Chlorr 0 473 0 7 974 24 26527916 26625 
Lazora 0 0 0 0 1 0 10400 10 
Bethor 0 25 0 3 751 26 75369377 75442 
Elervan 0 3 0 0 225 3 3078664 3103 
RockHammer 22 1220 8 24 469 380 425289580 425543 
Carolinus 0 2993 0 66 2269 406 1697474907 1697745 
Sigil 0 0 0 0 2 0 10760 10 
David 7 14163 28 110 4379 940 693056850 694350 
Quicksilver 86 7997 82 91 4902 721 256287002 256415 
Lynk 0 594 0 3 2081 73 438059684 438369 
Rot 0 98 0 0 511 24 231246603 231330 
Pik 0 7 0 0 228 5 1550988 1577 
Sinther 9 5792 14 4 648 475 58863540 59758 
Yuffie 0 34 1 13 395 13 11178224 11088 
Azaleas 0 0 0 0 21 1 17769 20 
Acacia 0 95 0 1 214 4 208969 232 
Kombucha 1 1211 25 30 2887 393 735646497 735776 
Terrant 0 8747 0 0 3068 286 1334036024 1335502 
Gan 0 0 0 0 4 0 11536 11 
Quetzal 16 1347 19 51 7090 258 1448902848 1449256 
Morghiel 10 2858 8 1 61 966 334531234 335688 
Godiva 0 238 12 38 2432 518 766256195 766480 
Threner 54 494 42 45 1298 336 392622973 392218 
Antares 0 61 0 0 395 7 1094023 1146 
Galiont 24 3111 20 25 1978 20255 2075279300 2095564 
Lisara 0 999 3 10 831 205 26126313 26368 
